Date,Close,High,Low,Open,Volume
7/17/2020,5381.453613,5434.212962,5311.107814,5394.643451,73348000
7/20/2020,5399.040527,5416.626979,5328.694722,5381.454076,59794500
7/21/2020,5451.798828,5482.575112,5363.866589,5363.866589,84159500
7/22/2020,5434.212402,5495.76497,5390.246283,5460.592074,44725500
7/23/2020,5451.798828,5464.988664,5399.039485,5434.21238,84026500
7/24/2020,5363.867676,5451.799933,5363.867676,5451.799933,58366500
7/27/2020,5363.867676,5399.040579,5275.935419,5363.867676,41972500
7/28/2020,5438.609863,5451.799701,5328.694547,5381.453899,65279000
7/29/2020,5394.643066,5438.609188,5363.866782,5438.609188,50262500
7/30/2020,5486.97168,5486.97168,5324.297039,5394.642829,80533500
8/3/2020,5390.246582,5482.575439,5122.053237,5469.385602,137079000
8/4/2020,5460.591797,5469.38502,5390.246009,5412.229068,79357000
8/5/2020,5456.195801,5469.385638,5363.866944,5451.799189,49393000
8/6/2020,5504.557617,5535.333898,5438.608444,5464.988114,55258500
8/7/2020,5434.212402,5526.541254,5416.625954,5508.954806,43621000
8/10/2020,5381.453613,5451.799412,5368.263776,5434.212962,37774500
8/11/2020,5429.815918,5451.798978,5390.246409,5399.039633,38795500
8/12/2020,5504.557617,5504.557617,5416.625387,5429.815221,35612000
8/13/2020,5539.730957,5539.730957,5434.212272,5504.558062,48581000
8/14/2020,5632.05957,5632.05957,5486.971385,5539.730725,57316000
8/18/2020,5592.490234,5649.646188,5539.730893,5632.059741,81563500
8/19/2020,5566.111328,5636.457127,5548.524878,5592.491003,58793500
8/24/2020,5552.921387,5610.077347,5522.1451,5574.904448,66882500
8/25/2020,5596.88623,5610.076064,5544.126894,5557.316728,49211000
8/26/2020,5574.903809,5618.869927,5544.127526,5614.473315,42983000
8/27/2020,5803.528809,5803.528809,5574.904946,5596.88801,68326000
8/28/2020,5711.199707,5803.528571,5649.647131,5768.35567,52292500
8/31/2020,5517.748047,5750.768482,5517.748047,5715.595586,97032000
9/1/2020,5733.182129,5733.182129,5486.971853,5522.14475,67446000
9/2/2020,5658.438965,5768.354252,5596.886404,5733.18136,66065000
9/3/2020,5715.595703,5715.595703,5539.73122,5684.819419,68208500
9/4/2020,5610.077148,5671.629719,5508.955068,5671.629719,80613500
9/7/2020,5526.541504,5592.490687,5451.799097,5570.507626,64249500
9/8/2020,5570.507324,5592.490384,5526.541205,5526.541205,39649000
9/9/2020,5491.368164,5557.317341,5460.591881,5539.730894,49285000
9/10/2020,5108.862793,5469.384952,5108.862793,5469.384952,175735000
9/11/2020,5192.398926,5253.951496,4941.792034,5100.070071,403032500
9/14/2020,5319.900391,5377.056345,5262.744436,5275.934272,138115000
9/15/2020,5152.829102,5363.866471,5152.829102,5311.107129,170087000
9/16/2020,5056.104004,5161.622696,5051.707392,5152.829472,158565500
9/17/2020,5060.500488,5148.43273,4981.361471,5056.103876,138796000
9/18/2020,4950.584961,5042.91381,4897.825619,5012.137527,316912000
9/21/2020,4928.602051,5042.913963,4919.808827,4959.378335,112443000
9/22/2020,4792.307129,4893.429206,4774.720681,4853.859698,163442500
9/23/2020,4840.67041,4911.016211,4770.324609,4792.307672,100517000
9/24/2020,4787.909668,4867.048671,4739.546944,4774.719834,88618500
9/25/2020,4932.998047,4946.187881,4801.099703,4818.686149,100705000
9/28/2020,4849.462891,5007.740918,4836.273055,4968.171411,93522000
9/29/2020,4840.67041,4954.982336,4801.100897,4902.222986,117778500
9/30/2020,4765.927734,4893.429491,4765.927734,4893.429491,107377000
10/1/2020,4897.825684,4897.825684,4818.686669,4823.083281,56893000
10/2/2020,4840.67041,4893.429761,4783.514447,4889.033148,66848000
10/5/2020,4853.859863,4889.032761,4801.100517,4849.463251,58291000
10/6/2020,5012.137695,5025.327531,4924.205455,4950.585127,141955500
10/7/2020,5060.500488,5060.500488,4906.619066,4924.205514,89937500
10/8/2020,5082.483887,5100.070336,5020.931314,5091.277111,77384500
10/9/2020,5078.087891,5078.087891,5029.725149,5056.104826,54250500
10/12/2020,5148.432617,5166.019065,5126.449557,5135.242781,82918500
10/13/2020,5148.432617,5152.829229,5073.690214,5135.242781,48250500
10/14/2020,5188.002441,5188.002441,5108.863421,5135.243095,83117500
10/15/2020,5086.880859,5170.4165,5064.897796,5166.019887,82067000
10/16/2020,5064.896973,5091.276644,5038.517301,5086.880032,89051500
10/19/2020,5188.002441,5188.002441,5020.931176,5056.104074,56871500
10/20/2020,5104.466309,5170.415486,5086.879861,5170.415486,74995500
10/21/2020,5082.483887,5157.226297,5038.517763,5152.829684,77944000
10/22/2020,5100.069336,5100.069336,5016.533718,5047.309998,96872500
10/23/2020,5073.69043,5135.243,5056.103981,5135.243,66328000
10/26/2020,5113.259277,5130.845724,5034.120269,5034.120269,70452500
10/27/2020,5091.276855,5126.449753,5060.500571,5113.259916,89482000
11/2/2020,5117.656738,5122.053351,5029.724492,5064.89739,151006500
11/3/2020,5179.208008,5183.604619,5130.845284,5135.241896,78152000
11/4/2020,5117.656738,5223.175434,5086.880452,5188.002535,78626000
11/5/2020,5407.833496,5434.213172,5188.002866,5188.002866,161090000
11/6/2020,5539.730957,5539.730957,5328.693587,5416.625825,137303500
